category,type,value,comment
Network activity,url,http://45.32.132.166/client_,Download location for Insekt implant and other tools
Network activity,url,http://45.32.132.166/,Download location for Insekt implant and other tools
Network activity,url,http://45.32.132.166/psexec64.exe,Download location for Insekt implant and other tools
Network activity,url,http://45.32.132.166/frpc,Download location for Insekt implant and other tools
Network activity,url,http://45.32.132.166/down.sct,Download location for Insekt implant and other tools
Network activity,url,http://45.32.132.166/client_arm,Download location for Insekt implant and other tools
Network activity,url,http://45.32.132.166/fs21774b77bbf7739178beefe647e7ec757b08367c2a2db6b5bbc0d2982310ef12,Download location for Insekt implant and other tools
Network activity,url,http://45.32.132.166/client,Download location for Insekt implant and other tools
Network activity,url,http://45.32.132.166/sump,Download location for Insekt implant and other tools
Network activity,url,http://45.32.132.166/zzz_exploit.py,Download location for Insekt implant and other tools
Network activity,url,http://45.32.132.166/exploit,Download location for Insekt implant and other tools
Network activity,url,http://45.32.132.166/Alchimist,Download location for Insekt implant and other tools
Network activity,url,http://45.32.132.166/ltmp,Download location for Insekt implant and other tools
Network activity,url,http://45.32.132.166/1tmp,Download location for Insekt implant and other tools
Network activity,url,http://45.32.132.166/nc.zip,Download location for Insekt implant and other tools
Network activity,url,http://45.32.132.166/msconfig.zip,Download location for Insekt implant and other tools
Network activity,url,http://45.32.132.166/shell.msi,Download location for Insekt implant and other tools
Payload delivery,sha256,4837be90842f915e146bf87723e38cc0533732ba1a243462417c13efdb732dcb,
Payload delivery,sha256,d94fa98977a9f23b38d6956aa2bf293cf3f44d1d24fd13a8789ab5bf3e95f560,
Payload delivery,sha256,2f4ef5da60db676272ad102ce0ce7d96f63449400e831a2c6861cf3e61846785,
Payload delivery,sha256,43a749766b780004527b34b3816031c204b31e8dea67af0a7a05073ff1811046,
Payload delivery,sha256,21774b77bbf7739178beefe647e7ec757b08367c2a2db6b5bbc0d2982310ef12,
Payload delivery,sha256,56ca5d07fa2e8004a008222a999a97a6c27054b510e8dd6bd22048b084079e37,
Payload delivery,sha256,ed487be94bb2a1bc861d9b2871c71aa56dc87f157d4bf88aff02f0054f9bbd41,
Payload delivery,sha256,ae9f370c89f0191492ed9c17a224d9c41778b47ca2768f732b4de6ee7d0d1459,
Payload delivery,sha256,ef130f1941077ffe383fe90e241620dde771cd0dd496dad29d2048d5fc478faf,
Payload delivery,sha256,0c25a05bdddc144fbf1ffa29372481b50ec6464592fdfb7dec95d9e1c6101d0d,
Payload delivery,sha256,c9ec5cc0165d1b84fcb767359cf05c30bd227c1f76fbd5855a1286371c08c320,
Payload delivery,sha256,6861b7490519f3e127f9a6f46c3e41daac6eb4083d3c3e0ccfcb771e9ec3cfba,
Payload delivery,sha256,3e59379f585ebf0becb6b4e06d0fbbf806de28a4bb256e837b4555f1b4245571,
Payload delivery,sha256,a9affdcdb398d437e2e1cd9bc1ccf2d101d79fc6d87e95e960e50847a141faa4,
Payload delivery,sha256,3b37dacfaf4f246105b399aa44700965931d6605b8e609feeb511050fc747a0b,
Payload delivery,sha256,2da9a09a14c52e3f3d8468af24607602cca13bc579af958be9e918d736418660,
Payload delivery,sha256,574467b68ba2c59327d79dfc12e58577d802e25a292af3b3b1e327858a978e4a,
Payload delivery,sha256,ec8617cc24edd3d87a5f5b4ae14e2940e493e4cc8e0a7c28e46012481ca58080,
Payload delivery,sha256,b44105e3a480e55ac0d8770074e3af92307d172b050beb7542a1022976f8e5a2,
Payload delivery,sha256,d80fb2c0fb95f79ab7b356b9e3b33a0553e0e5240372620e87e5be445c5586f8,
Payload delivery,sha256,3329dc95c8c3a8e4f527eda15d64d56b3907f231343e97cfe4b29b51d803e270,
Payload delivery,sha256,ca72fa64ed0a9c22d341a557c6e7c1b6a7264b0c4de0b6f717dd44bddf550bca,
Payload delivery,sha256,57e4b180fd559f15b59c43fb3335bd59435d4d76c4676e51a06c6b257ce67fb2,
