category,type,value,comment,to_ids
Network activity,ip-dst,91.234.33.185,Payload source,1
Payload delivery,sha256,41589c4e712690af11f6d12efc6cca2d584a53142782e5f2c677b4e980fae5bd,LNK file,1
Payload delivery,sha256,c68ce59f73c3d5546d500a296922d955ccc57c82b16ce4bd245ca93de3e32366,MSI file,1
Payload delivery,sha256,9e73dacedf847410dd4a0caa6aac83d31f848768336514335d4872d0fde28202,DLL,1
Payload delivery,sha256,b6491d99d7193499a320bf6ad638146193af2ced6128afe8af3666a828f1b900,DLL,1
Payload delivery,sha256,b2c2b232bc63c8feb22b689e44ce2fb5bf85f228fef665f2f1517e542e9906c6,,1
Payload delivery,sha256,a924dd46b6793ec82e1f32e3fb4215295e21c61eaafc7995cb08c20c5fbadc47,,1
Network activity,ip-dst,91.234.33.108,Payload source,1
Payload delivery,sha256,301e819008e19b9803ad8b75ecede9ecfa5b11a3ecd8df0316914588b95371c8,ZIP file,1
Payload delivery,sha256,d956f2bf75d2fe9bf0d7c319b22a834976f1786b09ff1bba0d2e26c771b19ca2,LNK file,1
Payload delivery,sha256,9a6d4ac64fa6645c58a19b8c8795a8cb586b82f6a77aaf8f06eb83ba1f1390e8,DLL,1
Payload delivery,sha256,2643b38bdad89168baea4226dd6496b91ed283330b2c5d8ca134befa796e0f34,,1
Payload delivery,sha256,1fa2b3315fb2a12e65fd5258d1395597101f225e7bc204f672bcf253c82aea55,,1
Network activity,ip-dst,185.230.90.163,Payload source,1
Network activity,ip-dst,45.154.116.147,Payload source,1
Network activity,ip-dst,176.114.9.192,Payload source,1
Payload delivery,sha256,2ac977e6883405e68671d523eab41fe4162b0a20fac259b201ac460a691d3f79,MSI file,1
Payload delivery,sha256,78634be886ccb3949c8e5b8f0893cff32c474a466e4d4ceba35ba05c3d373bff,PowerShell,1
Payload delivery,sha256,f7437b4b011e57394c264ed42bb46ad6f2c6899f9ca62f507bebbff29f2a3d3f,,1
Payload delivery,sha256,dfc1e73685d3f11a3c64a50bb023532963807193169d185584f287aa8ce22a8b,,1
Payload delivery,sha256,ce9af73be2981c874b37b767873fa4d47219810e2672bf7e0b5af8c865448069,EXE,1
Payload delivery,sha256,fbe650223893284282e0be8f7719b554ff7a1d9fbbc72d3e17a47a9a1ceb6231,,1
Payload delivery,sha256,dfa442780702863bf5c71af0c475743eef754743c3d0336ff8c5032a30f30dc0,,1
Payload delivery,sha256,12f16409b6191e3b2c5fd874cca5010711347d28900c108506dbc7f4d403c365,,1
Network activity,ip-dst,185.166.217.184,Payload source,1
Payload delivery,sha256,961c52567232c1f98c04b1e605c34b0309ff280afe01e1a31384589e30eccf05,ZIP file,1
Payload delivery,sha256,fb48b9102388620bb02d1a47297ba101f755632f9a421d09e9ab419cbeb65db8,LNK file,1
Payload delivery,sha256,9c16cf1f962bf736e3d6fb9ec3a37bb6f92c5f6cb1886d4332694ccc94735de8,MSI file,1
Payload delivery,sha256,4808815cb03b5f31841c74755897b65ed03e56dbddbe0d1fed06af3710f32d51,MSI file,1
Payload delivery,sha256,22bb73e97b01be2e11d741f3f4852380b3dae91d9ac511f33de8877a9e7c0534,ZIP file,1
Payload delivery,sha256,c75d905cd7826182505c15d39ebe952dca5b4c80fb62b8f7283fa09d7f51c815,LNK file,1
Payload delivery,sha256,f405a26904d2f6aaf4ff5f24dc345a24751d13b691a0bf17ba8c94f08ebb8b5b,,1
Payload delivery,sha256,aa0e722832b1a039c96fd9ff169df8f48419f48e1dacf88633a5c561e6db0ba5,,1
Payload delivery,sha256,8aa19e3654f6c26b6c564a8103781174abc540384b20f645e87531c754814cf1,,1
Payload delivery,sha256,0e4b133fe7562fe5a65a8b7463f0c4f69d951f18d351cafe44e5cae393392057,,1
Payload delivery,sha256,bc93ef8e20f2a9a8799934d629fe494d5d82ea49e06ed8fb00ea6cc2e96f407e,EXE,1
Payload delivery,sha256,82e4b4fddf5ea7b7c846d44bcc24d75edcec5726dfa5b81b9f43387a1fc1922a,EXE,1
Payload delivery,sha256,332f6e99403841998f950ce2543b4a54c78aace2a2e1901b08917f63c7faa2f4,,1
Payload delivery,sha256,052309916380ef609cacb7bafbd71dc54b57f72910dca9e5f0419204dba3841d,EXE,1
Payload delivery,sha256,d6b5f48d4e94207a5a192c1784f9f121b59311bfd6a5e94be7c55b0108c4ed93,EXE,1
Payload delivery,sha256,4a5f9f62ef8dfae47b164a4d46d242a19a11061284325e560df22b4da44bb97d,EXE,1
Payload delivery,sha256,70801ef4f485ba4eb8a76da0d50fc53563d82fdf37951b421b3ae864a04ccd1c,EXE,1
External analysis,link,https://www.malwarebytes.com/blog/threat-intelligence/2023/05/redstinger,,0
External analysis,link,https://securelist.com/bad-magic-apt/109087/,,0
Payload delivery,md5,0a95a985e6be0918fdb4bfabf0847b5a,Lure archive,1
Payload delivery,md5,ecb7af5771f4fe36a3065dc4d5516d84,Lure archive,1
Payload delivery,md5,765f45198cb8039079a28289eab761c5,Lure archive,1
Payload delivery,md5,ebaf3c6818bfc619ca2876abd6979f6d,Lure archive,1
Payload delivery,md5,1032986517836a8b1f87db954722a33f,Lure archive,1
Payload delivery,md5,1de44e8da621cdeb62825d367693c75e,Lure archive,1
Payload delivery,md5,fee3db5db8817e82b1af4cedafd2f346,PowerMagic installer,1
Payload delivery,md5,bec44b3194c78f6e858b1768c071c5db,PowerMagic dropper,1
Payload delivery,md5,8c2f5e7432f1e6ad22002991772d589b,PowerMagic loader,1
Payload delivery,md5,1fe3a2502e330432f3cf37ca7acbffac,PowerMagic backdoor,1
Payload delivery,md5,ce8d77af445e3a7c7e56a6ea53af8c0d,CommonMagic loader,1
Payload delivery,md5,9e19fe5c3cf3e81f347dd78cf3c2e0c2,CommonMagic cryptography module,1
Payload delivery,md5,7c0e5627fd25c40374bc22035d3fadd8,CommonMagic network communication module,1
Network activity,domain,webservice-srv.online,Distribution servers,1
Network activity,domain,webservice-srv1.online,Distribution servers,1
